dist,angle,x,y,sample
795.9224998502164,990.9330826207097,51.22839207048459,1271,0
789.1967669722242,995.0218404641121,51.5804772393539,1270,0
780.601096238979,996.7035309210579,51.932562408223205,1266,0
774.4616079735804,1001.4815114494008,52.284647577092514,1266,0
768.2928749035236,1006.221674569018,52.63673274596182,1266,0
762.0951299692045,1010.9238412844072,52.98881791483113,1266,0
754.0774493695674,1013.1812277930774,53.34090308370044,1263,0
747.837206331216,1017.7959092208625,53.69298825256975,1263,0
740.9815752313034,1021.5626780417031,54.04507342143906,1262,0
734.6900753841277,1026.096726986333,54.397158590308365,1262,0
728.9479885323678,1031.4086629530582,54.74924375917767,1263,0
646.8558861754143,1075.454537635236,58.974265785609404,1255,0
639.7248502396536,1078.5490790807123,59.32635095447871,1254,0
632.5802278372437,1081.5966232146718,59.67843612334802,1253,0
625.9218656873852,1085.4634116608552,60.03052129221733,1253,0
619.2398678111011,1089.2892114187537,60.38260646108664,1253,0
612.5344865304179,1093.0738780205652,60.73469162995595,1253,0
606.2894594677928,1097.6926215194542,61.086776798825255,1254,0
599.5326836883447,1101.397549111787,61.438861967694564,1254,0
592.7532686766351,1105.0608863194664,61.79094713656387,1254,0
585.9514704333044,1108.6824948095143,62.14303230543318,1254,0
579.1275458042164,1112.262237824689,62.49511747430249,1254,0
571.8253874368925,1114.910187540973,62.8472026431718,1253,0
564.9634603046013,1118.4030080971042,63.199287812041106,1253,0
558.0801993245566,1121.8535961175428,63.551372980910415,1253,0
551.1758644187744,1125.261821303032,63.90345814977972,1253,0
542.5132838507675,1125.02459388471,64.25554331864906,1249,0
536.8762016295981,1131.0472775811695,64.60762848751837,1252,0
529.9157718359875,1134.3250304738363,64.95971365638768,1252,0
522.9353316466731,1137.5599495919255,65.31179882525699,1252,0
515.9351446533014,1140.7519127801525,65.6638839941263,1252,0
509.3219572021259,1144.8144582908603,66.0159691629956,1253,0
503.0791680238459,1149.7549089699226,66.36805433186491,1255,0
496.3996404651312,1153.743211007583,66.72013950073422,1256,0
490.07964917076333,1158.6137999647085,67.07222466960353,1258,0
483.3346100459109,1162.526840434993,67.42430983847284,1259,0
476.18174902991143,1165.4749855277094,67.77639500734215,1259,0
469.3834332279212,1169.307142119285,68.12848017621145,1260,0
462.18917062060547,1172.1694291189465,68.48056534508076,1260,0
453.89417541831034,1172.189864109621,68.83265051395007,1257,0
446.68249091337935,1174.9569150872803,69.18473568281938,1257,0
440.1531497457353,1179.553392080625,69.53682085168869,1259,0
432.8964757522004,1182.235865333701,69.888906020558,1259,0
426.9757137462305,1188.6381871162043,70.2409911894273,1263,0
419.6634624253414,1191.2395134082708,70.59307635829661,1263,0
412.3353639974373,1193.7958567515223,70.94516152716592,1263,0
405.31235368991383,1197.2543154845348,71.29724669603523,1264,0
